EntryNumber,SequenceNumber,InUse,ParentEntryNumber,ParentSequenceNumber,ParentPath,FileName,Extension,FileSize,ReferenceCount,ReparseTarget,IsDirectory,HasAds,IsAds,SI<FN,uSecZeros,Copied,SiFlags,NameType,Created0x10,Created0x30,LastModified0x10,LastModified0x30,LastRecordChange0x10,LastRecordChange0x30,LastAccess0x10,LastAccess0x30,UpdateSequenceNumber,LogfileSequenceNumber,SecurityId,ObjectIdFileDroid,LoggedUtilStream,ZoneIdContents,SourceFile
0,1,True,5,5,.,$MFT,,524288,1,,False,False,False,False,False,False,Hidden|System,DosWindows,2025-09-24 03:36:12.4468364,,2025-09-24 03:36:12.4468364,,2025-09-24 03:36:12.4468364,,2025-09-24 03:36:12.4468364,,0,453083271,256,,,,..\DRIVE_F_mft.raw
1,1,True,5,5,.,$MFTMirr,,4096,1,,False,False,False,False,False,False,Hidden|System,DosWindows,2025-09-24 03:36:12.4468364,,2025-09-24 03:36:12.4468364,,2025-09-24 03:36:12.4468364,,2025-09-24 03:36:12.4468364,,0,8409819,256,,,,..\DRIVE_F_mft.raw
2,2,True,5,5,.,$LogFile,,16777216,1,,False,False,False,False,False,False,Hidden|System,DosWindows,2025-09-24 03:36:12.4468364,,2025-09-24 03:36:12.4468364,,2025-09-24 03:36:12.4468364,,2025-09-24 03:36:12.4468364,,0,8409889,256,,,,..\DRIVE_F_mft.raw
3,3,True,5,5,.,$Volume,,0,1,,False,False,False,False,False,False,Hidden|System,DosWindows,2025-09-24 03:36:12.4468364,,2025-09-24 03:36:12.4468364,,2025-09-24 03:36:12.4468364,,2025-09-24 03:36:12.4468364,,0,218123737,257,79f818bc-2c32-4a7c-950b-0464f62a84bd,,,..\DRIVE_F_mft.raw
4,4,True,5,5,.,$AttrDef,,2560,1,,False,False,False,False,False,False,Hidden|System,DosWindows,2025-09-24 03:36:12.4468364,,2025-09-24 03:36:12.4468364,,2025-09-24 03:36:12.4468364,,2025-09-24 03:36:12.4468364,,0,8410029,256,,,,..\DRIVE_F_mft.raw
5,5,True,5,5,.,.,,0,1,,True,False,False,False,False,False,Hidden|System,DosWindows,2025-09-24 03:36:12.4468364,,2025-10-13 05:10:39.1418080,2025-09-24 03:36:12.4468364,2025-10-13 05:10:39.1418080,2025-09-24 03:36:12.4468364,2025-10-13 06:45:41.4353504,2025-09-24 03:36:12.4468364,0,474045872,0,6e476bf5-a680-11f0-87f6-d46d6d7d7a02,$TXF_DATA,,..\DRIVE_F_mft.raw
6,6,True,5,5,.,$Bitmap,,320000,1,,False,False,False,False,False,False,Hidden|System,DosWindows,2025-09-24 03:36:12.4468364,,2025-09-24 03:36:12.4468364,,2025-09-24 03:36:12.4468364,,2025-09-24 03:36:12.4468364,,0,8409959,256,,,,..\DRIVE_F_mft.raw
7,7,True,5,5,.,$Boot,,8192,1,,False,False,False,False,False,False,Hidden|System,DosWindows,2025-09-24 03:36:12.4468364,,2025-09-24 03:36:12.4468364,,2025-09-24 03:36:12.4468364,,2025-09-24 03:36:12.4468364,,0,0,0,,,,..\DRIVE_F_mft.raw
8,8,True,5,5,.,$BadClus,,0,1,,False,True,False,False,False,False,Hidden|System,DosWindows,2025-09-24 03:36:12.4468364,,2025-09-24 03:36:12.4468364,,2025-09-24 03:36:12.4468364,,2025-09-24 03:36:12.4468364,,0,8410099,256,,,,..\DRIVE_F_mft.raw
8,8,True,5,5,.,$BadClus:$Bad,,10485755904,1,,False,False,True,False,False,False,Hidden|System,DosWindows,2025-09-24 03:36:12.4468364,,2025-09-24 03:36:12.4468364,,2025-09-24 03:36:12.4468364,,2025-09-24 03:36:12.4468364,,0,8410099,256,,,,..\DRIVE_F_mft.raw
9,9,True,5,5,.,$Secure,,267180,1,,False,True,False,False,False,False,Hidden|System|IsIndexView,DosWindows,2025-09-24 03:36:12.4468364,,2025-09-24 03:36:12.4468364,,2025-09-24 03:36:12.4468364,,2025-09-24 03:36:12.4468364,,0,473996992,257,,,,..\DRIVE_F_mft.raw
9,9,True,5,5,.,$Secure:$SDS,,267180,1,,False,False,True,False,False,False,Hidden|System|IsIndexView,DosWindows,2025-09-24 03:36:12.4468364,,2025-09-24 03:36:12.4468364,,2025-09-24 03:36:12.4468364,,2025-09-24 03:36:12.4468364,,0,473996992,257,,,,..\DRIVE_F_mft.raw
10,10,True,5,5,.,$UpCase,,131072,1,,False,True,False,False,False,False,Hidden|System,DosWindows,2025-09-24 03:36:12.4468364,,2025-09-24 03:36:12.4468364,,2025-09-24 03:36:12.4468364,,2025-09-24 03:36:12.4468364,,0,8410507,256,,,,..\DRIVE_F_mft.raw
10,10,True,5,5,.,$UpCase:$Info,,32,1,,False,False,True,False,False,False,Hidden|System,DosWindows,2025-09-24 03:36:12.4468364,,2025-09-24 03:36:12.4468364,,2025-09-24 03:36:12.4468364,,2025-09-24 03:36:12.4468364,,0,8410507,256,,,,..\DRIVE_F_mft.raw
11,11,True,5,5,.,$Extend,,0,1,,True,False,False,False,False,False,Hidden|System,DosWindows,2025-09-24 03:36:12.4468364,,2025-09-24 03:36:12.4468364,,2025-09-24 03:36:12.4468364,,2025-09-24 03:36:12.4468364,,0,8410367,257,,,,..\DRIVE_F_mft.raw
24,1,True,11,11,.\$Extend,$Quota,,0,1,,False,False,False,False,False,False,Hidden|System|IsIndexView,Posix,2025-09-24 03:36:12.8786006,,2025-09-24 03:36:12.8786006,,2025-09-24 03:36:12.8786006,,2025-09-24 03:36:12.8786006,,0,8410524,257,,,,..\DRIVE_F_mft.raw
25,1,True,11,11,.\$Extend,$ObjId,,0,1,,False,False,False,False,False,False,Hidden|System|IsIndexView,Posix,2025-09-24 03:36:12.8786006,,2025-09-24 03:36:12.8786006,,2025-09-24 03:36:12.8786006,,2025-09-30 13:45:57.6664967,2025-09-24 03:36:12.8786006,0,474043213,257,,,,..\DRIVE_F_mft.raw
26,1,True,11,11,.\$Extend,$Reparse,,0,1,,False,False,False,False,False,False,Hidden|System|IsIndexView,Posix,2025-09-24 03:36:12.8786006,,2025-09-24 03:36:12.8786006,,2025-09-24 03:36:12.8786006,,2025-10-13 00:54:02.1441196,2025-09-24 03:36:12.8786006,0,473974105,257,,,,..\DRIVE_F_mft.raw
27,1,True,11,11,.\$Extend,$RmMetadata,,0,1,,True,False,False,False,False,False,Hidden|System,Posix,2025-09-24 03:36:12.8786006,,2025-09-24 03:36:12.8786006,,2025-09-24 03:36:12.8786006,,2025-09-24 03:36:12.8786006,,0,8411254,258,,,,..\DRIVE_F_mft.raw
28,1,True,27,1,.\$Extend\$RmMetadata,$Repair,,0,1,,False,True,False,False,False,False,Hidden|System,Posix,2025-09-24 03:36:12.8786006,,2025-09-24 03:36:12.8786006,,2025-09-24 03:36:12.8786006,,2025-09-24 03:36:12.8786006,,0,8410575,257,,,,..\DRIVE_F_mft.raw
28,1,True,27,1,.\$Extend\$RmMetadata,$Repair:$Config,,8,1,,False,False,True,False,False,False,Hidden|System,Posix,2025-09-24 03:36:12.8786006,,2025-09-24 03:36:12.8786006,,2025-09-24 03:36:12.8786006,,2025-09-24 03:36:12.8786006,,0,8410575,257,,,,..\DRIVE_F_mft.raw
28,1,True,27,1,.\$Extend\$RmMetadata,$Repair:$Corrupt,,2359296,1,,False,False,True,False,False,False,Hidden|System,Posix,2025-09-24 03:36:12.8786006,,2025-09-24 03:36:12.8786006,,2025-09-24 03:36:12.8786006,,2025-09-24 03:36:12.8786006,,0,8410575,257,,,,..\DRIVE_F_mft.raw
28,1,True,27,1,.\$Extend\$RmMetadata,$Repair:$Verify,,512000,1,,False,False,True,False,False,False,Hidden|System,Posix,2025-09-24 03:36:12.8786006,,2025-09-24 03:36:12.8786006,,2025-09-24 03:36:12.8786006,,2025-09-24 03:36:12.8786006,,0,8410575,257,,,,..\DRIVE_F_mft.raw
29,1,True,11,11,.\$Extend,$Deleted,,0,1,,True,False,False,False,False,False,Hidden|System,Posix,2025-09-24 03:36:12.8817477,,2025-09-24 03:36:12.8817477,,2025-09-24 03:36:12.8817477,,2025-10-13 00:54:02.1441196,2025-09-24 03:36:12.8817477,0,473974071,257,,,,..\DRIVE_F_mft.raw
30,1,True,27,1,.\$Extend\$RmMetadata,$TxfLog,,0,1,,True,False,False,False,False,False,Hidden|System,Posix,2025-09-24 03:36:12.8893358,,2025-09-24 03:36:12.9373318,2025-09-24 03:36:12.8893358,2025-09-24 03:36:12.9373318,2025-09-24 03:36:12.8893358,2025-09-24 03:36:12.9373318,2025-09-24 03:36:12.8893358,0,8423152,258,,,,..\DRIVE_F_mft.raw
31,1,True,27,1,.\$Extend\$RmMetadata,$Txf,,0,1,,True,False,False,False,False,False,-2147483642,Posix,2025-09-24 03:36:12.8893358,,2025-09-24 03:36:12.8893358,,2025-09-24 03:36:12.8893358,,2025-09-24 03:36:12.8893358,,0,8411471,258,,$TXF_DATA,,..\DRIVE_F_mft.raw
32,1,True,30,1,.\$Extend\$RmMetadata\$TxfLog,$Tops,,100,1,,False,True,False,False,False,False,Hidden|System,Posix,2025-09-24 03:36:12.8893358,,2025-09-24 03:36:12.8893358,,2025-09-24 03:36:12.8893358,,2025-09-24 03:36:12.8893358,,0,473974035,258,,,,..\DRIVE_F_mft.raw
32,1,True,30,1,.\$Extend\$RmMetadata\$TxfLog,$Tops:$T,,1048576,1,,False,False,True,False,False,False,Hidden|System,Posix,2025-09-24 03:36:12.8893358,,2025-09-24 03:36:12.8893358,,2025-09-24 03:36:12.8893358,,2025-09-24 03:36:12.8893358,,0,473974035,258,,,,..\DRIVE_F_mft.raw
33,1,True,30,1,.\$Extend\$RmMetadata\$TxfLog,$TxfLog.blf,.blf,65536,1,,False,False,False,False,False,False,Archive,Posix,2025-09-24 03:36:12.8959954,,2025-10-13 00:53:59.3983856,2025-09-24 03:36:12.8959954,2025-10-13 00:53:59.3983856,2025-09-24 03:36:12.8959954,2025-10-13 00:53:59.3983856,2025-09-24 03:36:12.8959954,0,461395717,259,,,,..\DRIVE_F_mft.raw
34,1,True,30,1,.\$Extend\$RmMetadata\$TxfLog,$TxfLogContainer00000000000000000001,,5242880,1,,False,False,False,False,False,False,Archive,Posix,2025-09-24 03:36:12.9015173,,2025-10-13 00:53:59.2669457,2025-09-24 03:36:12.9015173,2025-10-13 00:53:59.2669457,2025-09-24 03:36:12.9015173,2025-10-13 00:53:59.2669457,2025-09-24 03:36:12.9015173,0,461395679,260,,,,..\DRIVE_F_mft.raw
35,1,True,30,1,.\$Extend\$RmMetadata\$TxfLog,$TxfLogContainer00000000000000000002,,5242880,1,,False,False,False,False,False,False,Archive,Posix,2025-09-24 03:36:12.9373318,,2025-09-24 03:36:12.9849348,2025-09-24 03:36:12.9373318,2025-09-24 03:36:12.9849348,2025-09-24 03:36:12.9373318,2025-09-24 03:36:12.9849348,2025-09-24 03:36:12.9373318,0,8424594,260,,,,..\DRIVE_F_mft.raw
36,1,True,5,5,.,System Volume Information,,0,1,,True,False,False,False,False,False,Hidden|System,Posix,2025-09-24 03:36:13.1668944,,2025-09-30 13:46:12.5650288,2025-09-24 03:36:13.1668944,2025-10-13 07:02:54.2342888,2025-09-24 03:36:13.1668944,2025-10-13 07:02:51.4211413,2025-09-24 03:36:13.1668944,0,474046762,262,,,,..\DRIVE_F_mft.raw
37,1,True,36,1,.\System Volume Information,WPSettings.dat,.dat,12,1,,False,False,False,False,False,False,Archive,Posix,2025-09-24 03:36:13.1668944,,2025-09-24 03:36:13.1688937,2025-09-24 03:36:13.1668944,2025-09-24 03:36:13.1688937,2025-09-24 03:36:13.1668944,2025-10-13 00:53:59.4710696,2025-09-24 03:36:13.1668944,0,461395791,263,,,,..\DRIVE_F_mft.raw
38,1,True,36,1,.\System Volume Information,FVE2.{e40ad34d-dae9-4bc7-95bd-b16218c10f72}.1,.1,65536,1,,False,False,False,False,False,False,Hidden|System|Archive,Posix,2025-09-24 03:36:13.2450034,,2025-10-13 00:54:06.3377645,2025-09-24 03:36:13.2450034,2025-10-13 00:54:06.3377645,2025-09-24 03:36:13.2450034,2025-10-13 00:54:06.3377645,2025-09-24 03:36:13.2450034,0,473975007,264,,,,..\DRIVE_F_mft.raw
39,1,True,36,1,.\System Volume Information,FVE2.{e40ad34d-dae9-4bc7-95bd-b16218c10f72}.2,.2,65536,1,,False,False,False,False,False,False,Hidden|System|Archive,Posix,2025-09-24 03:36:13.2480024,,2025-10-13 00:54:06.3580834,2025-09-24 03:36:13.2480024,2025-10-13 00:54:06.3580834,2025-09-24 03:36:13.2480024,2025-10-13 00:54:06.3580834,2025-09-24 03:36:13.2480024,0,473975081,264,,,,..\DRIVE_F_mft.raw
40,1,True,36,1,.\System Volume Information,FVE2.{e40ad34d-dae9-4bc7-95bd-b16218c10f72}.3,.3,65536,1,,False,False,False,False,False,False,Hidden|System|Archive,Posix,2025-09-24 03:36:13.2505108,,2025-10-13 00:54:06.3794328,2025-09-24 03:36:13.2505108,2025-10-13 00:54:06.3794328,2025-09-24 03:36:13.2505108,2025-10-13 00:54:06.3794328,2025-09-24 03:36:13.2505108,0,473975155,264,,,,..\DRIVE_F_mft.raw
